elapsed sec.,power,temp. sensor,tmu avg
0,0,63,34136
2,0,63,34134
5,0,64,34135
7,0,64,34135
9,0,64,34140
11,0,64,34144
14,0,64,34148
16,0,64,34151
18,0,65,34156
20,0,65,34155
22,0,65,34148
25,0,65,34151
27,0,65,34164
29,0,65,34173
31,0,65,34165
34,0,66,34159
36,0,66,34152
38,0,66,34144
40,0,66,34149
42,0,66,34145
45,0,66,34140
47,0,66,34144
49,0,66,34150
51,0,67,34147
54,0,67,34133
56,0,67,34135
58,0,67,34147
60,0,67,34142
62,0,67,34137
65,0,67,34136
67,0,67,34137
69,0,67,34161
71,0,68,34171
74,0,68,34160
76,0,68,34147
78,0,68,34146
80,0,68,34150
82,0,68,34149
85,0,68,34156
87,0,68,34150
89,0,68,34148
91,0,68,34156
94,0,69,34150
96,0,69,34145
98,0,69,34150
100,0,69,34150
102,0,69,34153
105,0,69,34159
107,0,69,34157
109,0,69,34149
111,0,69,34146
114,0,70,34137
116,0,70,34135
118,0,70,34152
120,0,70,34160
122,0,70,34157
125,0,70,34154
127,0,70,34156
129,0,70,34150
131,0,70,34142
134,0,71,34137
136,0,71,34141
138,0,71,34147
140,0,71,34140
142,0,71,34140
145,0,71,34142
147,0,71,34145
149,0,71,34138
151,0,71,34127
154,0,71,34133
156,0,71,34134
158,0,72,34132
160,0,72,34139
162,0,72,34143
165,0,72,34137
167,0,72,34134
169,0,72,34137
171,0,72,34132
174,0,72,34128
176,0,72,34130
178,0,72,34137
180,0,73,34136
182,0,73,34136
185,0,73,34136
187,0,73,34135
189,0,73,34133
191,0,73,34129
194,0,73,34128
196,0,73,34123
198,0,73,34134
200,0,73,34145
202,0,74,34144
205,0,74,34138
207,0,74,34127
209,0,74,34121
211,0,74,34124
214,0,74,34134
216,0,74,34132
218,0,74,34117
220,0,74,34100
222,0,74,34102
225,0,74,34119
227,0,75,34122
229,0,75,34119
231,0,75,34118
234,0,75,34118
236,0,75,34118
238,0,75,34118
240,0,75,34115
242,0,75,34107
245,0,75,34102
247,0,75,34102
249,0,76,34107
251,0,76,34097
254,0,76,34086
256,0,76,34097
258,0,76,34101
260,0,76,34107
262,0,76,34113
265,0,76,34107
267,0,76,34102
269,0,76,34110
271,0,76,34113
274,0,77,34111
276,0,77,34112
278,0,77,34114
280,0,77,34116
282,0,77,34114
285,0,77,34104
287,0,77,34101
289,0,77,34106
291,0,77,34103
294,0,77,34102
296,0,77,34105
298,0,77,34109
300,0,78,34105
302,0,78,34101
305,0,78,34108
307,0,78,34106
309,0,78,34106
311,0,78,34106
314,0,78,34102
316,0,78,34094
318,0,78,34087
320,0,78,34086
322,0,78,34079
325,0,78,34085
327,0,79,34087
329,0,79,34087
331,0,79,34086
334,0,79,34084
336,0,79,34091
338,0,79,34098
340,0,79,34092
342,0,79,34093
345,0,79,34095
347,0,79,34082
349,0,79,34067
351,0,79,34066
354,0,80,34077
356,0,80,34088
358,0,80,34088
360,0,80,34088
362,0,80,34088
365,0,80,34084
367,0,80,34091
369,0,80,34089
371,0,80,34073
374,0,80,34073
376,0,80,34075
378,0,80,34067
380,0,81,34066
382,0,81,34069
385,0,81,34077
387,0,81,34074
389,0,81,34059
391,0,81,34051
394,0,81,34062
396,0,81,34075
398,0,81,34072
400,0,81,34066
402,0,81,34065
405,0,81,34075
407,0,82,34077
409,0,82,34061
411,0,82,34059
414,0,82,34066
416,0,82,34067
418,0,82,34067
420,0,82,34060
422,0,82,34053
425,0,82,34057
427,0,82,34061
429,0,82,34057
431,0,82,34057
434,0,83,34059
436,0,83,34064
438,0,83,34072
440,0,83,34075
442,0,83,34058
445,0,83,34051
447,0,83,34058
449,0,83,34049
451,0,83,34032
454,0,83,34033
456,0,83,34042
458,0,83,34047
460,0,84,34047
462,0,84,34050
465,0,84,34057
467,0,84,34051
469,0,84,34045
471,0,84,34044
474,0,84,34040
476,0,84,34038
478,0,84,34034
480,0,84,34028
482,0,84,34032
485,0,84,34042
487,0,84,34041
489,0,85,34034
491,0,85,34031
494,0,85,34030
496,0,85,34030
498,0,85,34034
500,0,85,34029
502,0,85,34026
505,0,85,34032
507,0,85,34033
509,0,85,34030
511,0,85,34031
514,0,85,34034
516,0,85,34033
518,0,85,34027
520,0,86,34024
522,0,86,34013
525,0,86,34014
527,0,86,34028
529,0,86,34028
531,0,86,34024
534,0,86,34016
536,0,86,34018
538,0,86,34029
540,0,86,34032
542,0,86,34030
545,0,86,34028
547,0,86,34025
549,0,87,34026
551,0,87,34028
554,0,87,34024
556,0,87,34020
558,0,87,34015
560,0,87,34022
562,0,87,34024
565,0,87,34021
567,0,87,34023
569,0,87,34021
571,0,87,34025
574,0,87,34022
576,0,87,34021
578,0,87,34032
580,0,88,34034
582,0,88,34025
585,0,88,34013
587,0,88,34014
589,0,88,34025
591,0,88,34030
594,0,88,34029
596,0,88,34023
598,0,88,34019
600,0,88,34019
602,0,88,34019
605,0,88,34019
607,0,88,34014
609,0,88,34014
611,0,88,34019
614,0,88,34017
616,0,89,34024
618,0,89,34029
620,0,89,34022
622,0,89,34016
625,0,89,34013
627,0,89,34021
629,0,89,34028
631,0,89,34025
634,0,89,34024
636,0,89,34021
638,0,89,34021
640,0,89,34018
