elapsed sec.,power,temp. sensor,tmu avg
0,0,55,34177
2,0,55,34183
4,0,55,34194
6,0,55,34187
9,0,55,34187
11,0,56,34192
13,0,56,34183
15,0,56,34178
17,0,56,34179
20,0,56,34178
22,0,56,34177
24,0,56,34180
26,0,57,34177
29,0,57,34175
31,0,57,34176
33,0,57,34180
35,0,57,34193
38,0,57,34204
40,0,57,34204
42,0,57,34205
44,0,58,34209
46,0,58,34209
49,0,58,34210
51,0,58,34201
53,0,58,34192
55,0,58,34185
58,0,58,34175
60,0,58,34179
62,0,59,34175
64,0,59,34176
66,0,59,34183
69,0,59,34180
71,0,59,34183
73,0,59,34186
75,0,59,34186
78,0,59,34180
80,0,59,34169
82,0,60,34169
84,0,60,34174
86,0,60,34175
89,0,60,34178
91,0,60,34176
93,0,60,34174
95,0,60,34177
98,0,60,34176
100,0,60,34170
102,0,61,34161
104,0,61,34159
106,0,61,34168
109,0,61,34180
111,0,61,34183
113,0,61,34171
115,0,61,34164
118,0,61,34165
120,0,61,34163
122,0,62,34165
124,0,62,34172
126,0,62,34170
129,0,62,34163
131,0,62,34164
133,0,62,34158
135,0,62,34152
138,0,62,34147
140,0,62,34145
142,0,63,34157
144,0,63,34162
146,0,63,34156
149,0,63,34155
151,0,63,34161
153,0,63,34157
155,0,63,34154
158,0,63,34156
160,0,63,34161
162,0,64,34161
164,0,64,34159
166,0,64,34158
169,0,64,34164
171,0,64,34166
173,0,64,34163
175,0,64,34158
178,0,64,34150
180,0,64,34157
182,0,64,34165
184,0,65,34165
186,0,65,34152
189,0,65,34148
191,0,65,34156
193,0,65,34169
195,0,65,34167
198,0,65,34158
200,0,65,34155
202,0,65,34146
204,0,66,34150
206,0,66,34156
209,0,66,34145
211,0,66,34134
213,0,66,34131
215,0,66,34147
218,0,66,34154
220,0,66,34138
222,0,66,34134
224,0,67,34152
226,0,67,34158
229,0,67,34153
231,0,67,34155
233,0,67,34158
235,0,67,34163
238,0,67,34163
240,0,67,34159
242,0,67,34159
244,0,67,34160
246,0,68,34157
249,0,68,34149
251,0,68,34154
253,0,68,34166
255,0,68,34163
258,0,68,34164
260,0,68,34162
262,0,68,34159
264,0,68,34151
266,0,68,34144
269,0,69,34143
271,0,69,34140
273,0,69,34141
275,0,69,34145
278,0,69,34141
280,0,69,34129
282,0,69,34131
284,0,69,34133
286,0,69,34124
289,0,69,34124
291,0,70,34122
293,0,70,34127
295,0,70,34134
298,0,70,34124
300,0,70,34103
302,0,70,34090
304,0,70,34099
306,0,70,34108
309,0,70,34105
311,0,70,34102
313,0,71,34094
315,0,71,34091
318,0,71,34098
320,0,71,34099
322,0,71,34099
324,0,71,34107
326,0,71,34108
329,0,71,34113
331,0,71,34127
333,0,71,34131
335,0,71,34134
338,0,72,34138
340,0,72,34137
342,0,72,34128
344,0,72,34128
346,0,72,34135
349,0,72,34136
351,0,72,34135
353,0,72,34125
355,0,72,34123
358,0,72,34121
360,0,73,34122
362,0,73,34123
364,0,73,34114
366,0,73,34107
369,0,73,34106
371,0,73,34111
373,0,73,34121
375,0,73,34122
378,0,73,34125
380,0,73,34134
382,0,73,34135
384,0,74,34129
386,0,74,34122
389,0,74,34115
391,0,74,34114
393,0,74,34115
395,0,74,34114
398,0,74,34117
400,0,74,34115
402,0,74,34114
404,0,74,34113
406,0,74,34112
409,0,74,34112
411,0,75,34111
413,0,75,34106
415,0,75,34096
418,0,75,34094
420,0,75,34094
422,0,75,34096
424,0,75,34099
426,0,75,34103
429,0,75,34107
431,0,75,34108
433,0,76,34114
435,0,76,34116
438,0,76,34116
440,0,76,34117
442,0,76,34116
444,0,76,34115
446,0,76,34111
449,0,76,34111
451,0,76,34112
453,0,76,34117
455,0,76,34117
458,0,77,34114
460,0,77,34118
462,0,77,34119
464,0,77,34111
466,0,77,34112
469,0,77,34113
471,0,77,34110
473,0,77,34121
475,0,77,34131
478,0,77,34124
480,0,77,34116
482,0,77,34116
484,0,78,34125
486,0,78,34130
489,0,78,34122
491,0,78,34120
493,0,78,34119
495,0,78,34115
498,0,78,34118
500,0,78,34117
502,0,78,34110
504,0,78,34103
506,0,78,34100
509,0,78,34090
511,0,79,34081
513,0,79,34084
515,0,79,34096
518,0,79,34104
520,0,79,34104
522,0,79,34109
524,0,79,34115
526,0,79,34121
529,0,79,34115
531,0,79,34108
533,0,79,34109
535,0,79,34110
538,0,79,34103
540,0,80,34098
542,0,80,34099
544,0,80,34095
546,0,80,34088
549,0,80,34091
551,0,80,34087
553,0,80,34077
555,0,80,34076
558,0,80,34076
560,0,80,34082
562,0,80,34083
564,0,80,34076
566,0,81,34077
569,0,81,34077
571,0,81,34073
573,0,81,34079
575,0,81,34078
578,0,81,34069
580,0,81,34066
582,0,81,34065
584,0,81,34067
586,0,81,34065
589,0,81,34064
591,0,81,34060
593,0,81,34062
595,0,81,34062
598,0,82,34063
600,0,82,34076
602,0,82,34078
604,0,82,34070
606,0,82,34063
609,0,82,34059
611,0,82,34062
613,0,82,34061
615,0,82,34059
618,0,82,34060
620,0,82,34058
622,0,82,34058
624,0,82,34051
626,0,82,34047
629,0,83,34041
631,0,83,34043
633,0,83,34044
635,0,83,34030
638,0,83,34031
640,0,83,34037
642,0,83,34039
644,0,83,34045
646,0,83,34043
649,0,83,34041
651,0,83,34041
653,0,83,34042
655,0,83,34046
658,0,83,34044
660,0,84,34036
662,0,84,34028
664,0,84,34024
666,0,84,34024
