timestamp,pow,traw,tmu,cd,cv,ci
0,286,90,33946,9187,1003,5768
2,281,91,33946,9187,1003,5706
3,288,91,33946,9187,1003,5734
5,287,91,33946,9203,1003,5768
7,292,91,33945,9187,1003,5773
8,276,91,33943,9187,1004,5734
10,280,91,33943,9187,1003,5702
12,287,91,33942,9187,1004,5773
13,288,91,33941,9203,1003,5788
15,290,91,33942,9203,1003,5745
17,289,91,33943,9187,1003,5773
18,280,91,33942,9187,1003,5706
20,281,91,33940,9187,1003,5631
21,282,92,33941,9187,1003,5769
23,284,92,33940,9187,1003,5699
25,287,92,33940,9187,1003,5730
26,279,92,33940,9203,1003,5694
28,289,92,33939,9203,1003,5764
30,286,92,33940,9203,1003,5663
31,282,92,33939,9187,1003,5710
33,292,92,33940,9195,1005,5722
35,286,92,33940,9203,1003,5721
36,285,92,33939,9187,1003,5788
38,290,92,33938,9187,1003,5777
40,286,92,33936,9203,1004,5695
41,288,93,33933,9187,1003,5734
43,274,93,33932,9187,1004,5667
44,288,93,33931,9187,1002,5714
46,274,93,33931,9187,1004,5679
48,296,93,33931,9187,1004,5839
49,285,93,33929,9187,1003,5710
51,292,93,33928,9187,1003,5819
53,287,93,33927,9187,1003,5734
54,287,93,33927,9187,1003,5807
56,290,93,33924,9187,1001,5741
58,286,93,33923,9187,1004,5756
59,286,93,33921,9187,1004,5737
61,286,93,33919,9187,1003,5725
63,284,94,33917,9187,1002,5683
64,293,94,33916,9187,1003,5815
66,283,94,33915,9187,1002,5741
67,289,94,33915,9187,1003,5757
69,285,94,33915,9187,1003,5843
71,296,94,33915,9187,1003,5909
72,292,94,33913,9187,1003,5855
74,288,94,33911,9187,1002,5784
76,283,94,33911,9187,1003,5753
77,298,94,33911,9187,1003,5808
79,284,94,33910,9203,1003,5780
81,284,94,33909,9187,1003,5753
82,296,95,33909,9187,1003,5784
84,282,95,33909,9187,1004,5808
85,292,95,33910,9203,1003,5816
87,288,95,33912,9187,1003,5788
89,275,95,33913,9187,1003,5726
90,279,95,33916,9195,1003,5714
92,286,95,33916,9187,1003,5753
94,289,95,33915,9203,1004,5788
95,282,95,33914,9203,1003,5804
97,285,95,33915,9187,1003,5745
99,284,95,33915,9187,1004,5769
100,291,95,33916,9187,1004,5847
102,291,95,33915,9187,1003,5741
104,286,96,33915,9203,1003,5729
105,290,96,33916,9203,1004,5859
107,285,96,33916,9203,1003,5815
108,286,96,33916,9187,1003,5843
110,291,96,33917,9187,1003,5851
112,288,96,33917,9203,1003,5878
113,290,96,33916,9187,1003,5855
115,288,96,33915,9203,1004,5816
117,288,96,33913,9203,1003,5745
118,287,96,33914,9187,1004,5753
120,294,96,33914,9195,1003,5792
122,287,96,33913,9187,1002,5749
123,287,96,33912,9187,1003,5761
125,291,96,33912,9187,1003,5769
127,289,97,33910,9203,1004,5773
128,291,97,33910,9203,1003,5808
130,284,97,33910,9203,1003,5831
131,286,97,33909,9187,1003,5808
133,288,97,33907,9187,1003,5870
135,290,97,33906,9187,1003,5854
136,292,97,33903,9187,1003,5820
138,287,97,33900,9187,1003,5843
140,285,97,33898,9203,1003,5741
141,287,97,33898,9187,1003,5777
143,286,97,33896,9187,1003,5753
145,295,97,33895,9187,1002,5823
146,281,97,33893,9187,1003,5753
148,289,97,33893,9187,1003,5749
150,282,98,33891,9187,1003,5718
151,286,98,33890,9187,1002,5804
153,295,98,33890,9187,1003,5859
154,285,98,33890,9187,1004,5749
156,278,98,33890,9187,1003,5722
158,292,98,33889,9203,1003,5765
159,292,98,33890,9203,1003,5780
161,290,98,33891,9187,1003,5710
163,291,98,33892,9203,1003,5823
164,281,98,33893,9195,1003,5741
166,285,98,33894,9187,1004,5749
168,288,98,33894,9203,1004,5749
169,284,98,33894,9203,1004,5710
171,282,98,33894,9187,1002,5749
172,284,99,33893,9187,1003,5745
174,284,99,33894,9203,1003,5761
176,293,99,33893,9187,1004,5827
177,282,99,33892,9187,1003,5745
179,290,99,33891,9187,1003,5781
181,291,99,33889,9203,1003,5792
182,295,99,33887,9187,1003,5835
184,289,99,33884,9187,1003,5820
186,288,99,33881,9195,1003,5761
187,284,99,33878,516343,1001,5777
189,292,99,33876,9195,1003,5831
191,287,99,33874,9187,1003,5753
192,295,99,33872,9195,1003,5839
194,285,99,33870,9203,1003,5695
195,284,100,33868,9195,1003,5745
197,292,100,33866,9187,1003,5808
199,287,100,33865,9203,1003,5734
200,292,100,33864,9187,1003,5792
202,287,100,33863,9203,1003,5808
204,288,100,33862,9203,1003,5808
205,292,100,33861,9187,1003,5862
207,287,100,33860,9187,1003,5792
209,291,100,33859,9195,1002,5792
210,292,100,33860,9187,1003,5784
212,293,100,33861,9187,1003,5859
214,291,100,33861,9187,1002,5839
215,293,100,33861,9187,1003,5858
217,290,100,33861,9187,1002,5851
218,289,101,33860,9203,1003,5870
220,294,101,33859,9203,1003,5870
222,287,101,33859,9203,1002,5769
223,295,101,33861,9203,1004,5870
