timestamp,pow,traw,tmu,cd,cv,ci
0,234,56,36263,9515,1052,4304
1,250,56,36262,9515,1052,4401
3,250,56,36257,9515,1052,4483
5,240,56,36256,9515,1050,4417
6,253,57,36255,9515,1052,4546
8,244,57,36255,9515,1050,4453
10,248,57,36254,9515,1051,4511
11,251,57,36253,9515,1052,4557
13,251,57,36252,9515,1051,4620
14,255,58,36252,9515,1051,4475
16,252,58,36252,9515,1051,4605
18,253,58,36253,9515,1052,4554
19,251,58,36254,9515,1053,4604
21,254,58,36254,9531,1052,4515
23,262,58,36254,9531,1052,4663
24,251,59,36256,9531,1052,4647
26,249,59,36256,9531,1053,4499
28,258,59,36258,9546,1053,4652
29,253,59,36258,9546,1052,4609
31,248,59,36258,9531,1051,4651
33,258,59,36259,9546,1053,4710
34,256,59,36258,9531,1050,4679
36,258,60,36258,9531,1051,4749
37,259,60,36258,9531,1051,4776
39,265,60,36259,9546,1052,4742
41,254,60,36258,9531,1051,4714
42,263,60,36257,9531,1051,4819
44,268,60,36255,9531,1052,4956
46,262,60,36253,9531,1053,4839
47,263,61,36251,9531,1050,4831
49,281,61,36249,9546,1051,4964
51,258,61,36248,9546,1052,4878
52,262,61,36247,9546,1052,4792
54,259,61,36245,9531,1053,4843
55,261,61,36244,9546,1053,4917
57,270,61,36243,9546,1052,4999
59,273,62,36241,9546,1052,4901
60,258,62,36239,9531,1052,4902
62,268,62,36238,9546,1051,4886
64,265,62,36236,9546,1052,4905
65,281,62,36235,9546,1051,5061
67,269,62,36234,9546,1051,5015
69,266,62,36234,9546,1051,5014
70,266,63,36233,9546,1050,5034
72,273,63,36234,9546,1051,4995
74,266,63,36236,9546,1052,5030
75,268,63,36236,9538,1052,5015
77,277,63,36235,9546,1054,5042
78,283,63,36234,9546,1051,5140
80,272,63,36234,9546,1050,5011
82,272,63,36232,9546,1053,5116
83,268,64,36232,9546,1052,5038
85,278,64,36232,9546,1051,5069
87,264,64,36234,9546,1051,5050
88,271,64,36235,9546,1052,5096
90,282,64,36236,9546,1051,5265
92,275,64,36235,9546,1051,5061
93,285,64,36235,9546,1052,5186
95,269,65,36234,9546,1052,5101
97,269,65,36234,9546,1052,5015
98,277,65,36233,9546,1051,5280
100,270,65,36231,9546,1053,5167
101,287,65,36230,9546,1052,5195
103,276,65,36229,9546,1052,5027
105,275,65,36228,9546,1053,5120
106,280,65,36227,9546,1051,5163
108,278,66,36227,9546,1052,5159
110,275,66,36225,9546,1051,5222
111,283,66,36224,9546,1052,5273
113,270,66,36223,9546,1052,5183
115,281,66,36221,9546,1052,5237
116,277,66,36219,9546,1053,5218
118,285,66,36218,9546,1052,5257
119,277,66,36217,9546,1052,5144
121,279,67,36216,9546,1053,5179
123,284,67,36216,9562,1052,5226
124,279,67,36216,9562,1052,5281
126,278,67,36215,9546,1052,5152
128,281,67,36215,9546,1051,5304
129,225,67,36215,9562,1054,5179
131,279,67,36215,9562,1051,5171
133,275,67,36214,9562,1053,5245
134,282,67,36214,9562,1052,5120
136,281,68,36214,9546,1052,5253
138,279,68,36213,9562,1052,5163
139,275,68,36212,9546,1052,5214
141,285,68,36210,9546,1051,5253
142,278,68,36209,9562,1050,5105
144,279,68,36209,9546,1051,5253
146,284,68,36209,9562,1052,5273
147,288,68,36207,9546,1052,5277
149,279,68,36206,9546,1052,5281
151,287,69,36204,9546,1052,5214
152,272,69,36201,9546,1051,5046
154,278,69,36199,9562,1053,5077
156,291,69,36197,9546,1051,5257
157,278,69,36195,9562,1052,5159
159,287,69,36193,9546,1053,5230
161,280,69,36190,9562,1052,5109
162,280,69,36188,9562,1052,5140
164,280,70,36186,9546,1052,5249
165,281,70,36185,9562,1052,5066
167,271,70,36185,9562,1051,5156
169,288,70,36184,9562,1053,5222
170,278,70,36183,9562,1053,5245
172,277,70,36182,9562,1053,5183
174,279,70,36182,9562,1051,5152
175,288,70,36181,9562,1052,5277
177,287,70,36181,9562,1052,5195
179,289,71,36181,9562,1053,5249
180,288,71,36181,9546,1053,5191
182,285,71,36181,9562,1051,5191
183,286,71,36181,9562,1051,5120
185,280,71,36181,9562,1053,5167
187,278,71,36181,9554,1053,5124
188,288,71,36182,9562,1052,5296
190,286,71,36183,9562,1051,5261
192,282,71,36183,9562,1052,5281
193,280,72,36182,9562,1051,5249
195,278,72,36182,9562,1051,5269
197,287,72,36180,9562,1051,5269
198,289,72,36178,9546,1051,5265
200,286,72,36176,9562,1051,5284
202,287,72,36175,9562,1053,5277
203,283,72,36173,9546,1051,5140
205,290,72,36171,9562,1051,5296
206,287,72,36169,9562,1051,5300
208,285,72,36166,9562,1051,5273
210,278,73,36165,9562,1052,5156
211,282,73,36162,9562,1052,5167
213,283,73,36161,9562,1051,5167
215,277,73,36158,9562,1051,5124
216,276,73,36156,9562,1052,5210
218,286,73,36152,9562,1052,5159
220,286,73,36150,9562,1053,5210
221,281,73,36147,9562,1051,5128
223,276,73,36145,9562,1051,5120
225,284,74,36144,9562,1053,5234
226,282,74,36142,9562,1052,5191
228,288,74,36140,9562,1052,5304
229,286,74,36139,9562,1051,5300
231,285,74,36138,9562,1052,5312
233,284,74,36138,9562,1051,5296
234,229,74,36138,9562,1051,5183
236,282,74,36137,9562,1052,5285
238,280,74,36136,9562,1051,5077
239,283,74,36135,9562,1052,5234
241,286,75,36135,9562,1052,5323
243,283,75,36133,9562,1052,5218
244,289,75,36133,9562,1051,5288
246,276,75,36132,9562,1052,5277
248,290,75,36132,9562,1052,5288
249,283,75,36131,9562,1051,5233
251,288,75,36131,9562,1052,5304
252,289,75,36131,9562,1052,5206
254,289,75,36131,9562,1053,5358
256,291,76,36130,9562,1052,5210
257,286,76,36130,9562,1053,5206
259,288,76,36128,9562,1052,5339
261,284,76,36127,9562,1051,5280
262,286,76,36126,9562,1052,5170
264,287,76,36125,9562,1052,5397
266,296,76,36123,9578,1053,5394
267,285,76,36123,9562,1051,5363
269,290,76,36121,9562,1050,5311
270,293,76,36121,9562,1051,5437
272,287,76,36120,9562,1052,5367
274,288,77,36118,9578,1050,5444
275,284,77,36118,9562,1050,5429
277,294,77,36116,9562,1051,5390
279,295,77,36115,9578,1051,5436
280,283,77,36114,9570,1052,5249
282,293,77,36113,9578,1051,5406
284,289,77,36113,9578,1052,5480
285,293,77,36113,9578,1054,5390
287,283,77,36114,9578,1053,5358
289,284,77,36114,9578,1052,5300
290,285,78,36115,9578,1052,5311
292,292,78,36116,9578,1053,5413
293,292,78,36115,9578,1053,5374
295,290,78,36116,9578,1052,5268
297,295,78,36116,9578,1052,5413
298,291,78,36116,9570,1052,5409
300,239,78,36115,9578,1054,5468
302,300,78,36116,9578,1053,5480
303,289,78,36117,9578,1052,5378
