elapsed sec.,core.v,core.i,core.duty,tmu.avg,tsens0,tsens1,power
0,1003,33187,9921,35584,60,57987,1493
0,1003,33187,9921,35545,60,57987,1493
1,1003,33187,9921,35505,60,57987,1493
1,1003,33187,9921,35459,60,57987,1493
2,1003,33187,9921,35406,60,57987,1493
2,1003,33187,9921,35354,60,57987,1493
3,1003,33187,9921,35308,60,57987,1493
3,998,35624,9773,35291,61,58018,1614
4,998,35624,9773,35283,61,58018,1614
4,998,35624,9773,35274,61,58018,1614
5,998,35624,9773,35267,61,58018,1614
5,998,35624,9773,35267,61,58018,1614
6,998,35624,9773,35263,61,58018,1614
6,998,35624,9773,35256,61,58018,1614
7,1009,34686,9921,35255,62,58034,1549
7,1009,34686,9921,35249,62,58034,1549
8,1009,34686,9921,35246,62,58034,1549
8,1009,34686,9921,35241,62,58034,1549
9,1009,34686,9921,35241,62,58034,1549
9,1009,34686,9921,35239,62,58034,1549
10,1009,34686,9921,35234,62,58034,1549
10,1003,35405,9929,35228,64,58042,1619
11,1003,35405,9929,35218,64,58042,1619
11,1003,35405,9929,35219,64,58042,1619
12,1003,35405,9929,35210,64,58042,1619
12,1003,35405,9929,35196,64,58042,1619
13,1003,35405,9929,35182,64,58042,1619
13,1003,35405,9929,35172,64,58042,1619
14,991,35500,9976,35173,66,58050,1548
14,991,35500,9976,35179,66,58050,1548
15,991,35500,9976,35177,66,58050,1548
15,991,35500,9976,35180,66,58050,1548
16,991,35500,9976,35184,66,58050,1548
16,991,35500,9976,35187,66,58050,1548
17,991,35500,9976,35191,66,58050,1548
17,1001,34374,9953,35187,67,58074,1559
18,1001,34374,9953,35180,67,58074,1559
18,1001,34374,9953,35177,67,58074,1559
19,1001,34374,9953,35177,67,58074,1559
19,1001,34374,9953,35173,67,58074,1559
20,1001,34374,9953,35174,67,58074,1559
20,1001,34374,9953,35179,67,58074,1559
21,1008,36155,9843,35178,68,58058,1602
21,1008,36155,9843,35180,68,58058,1602
22,1008,36155,9843,35191,68,58058,1602
22,1008,36155,9843,35191,68,58058,1602
23,1008,36155,9843,35190,68,58058,1602
23,1008,36155,9843,35194,68,58058,1602
24,1008,36155,9843,35188,68,58058,1602
24,1008,36062,9890,35192,70,58074,1615
25,1008,36062,9890,35188,70,58074,1615
25,1008,36062,9890,35174,70,58074,1615
26,1008,36062,9890,35174,70,58074,1615
26,1008,36062,9890,35176,70,58074,1615
27,1008,36062,9890,35176,70,58074,1615
27,1008,36062,9890,35177,70,58074,1615
28,999,36749,9913,35172,71,58090,1633
28,999,36749,9913,35170,71,58090,1633
29,999,36749,9913,35169,71,58090,1633
29,999,36749,9913,35156,71,58090,1633
30,999,36749,9913,35151,71,58090,1633
30,999,36749,9913,35140,71,58090,1633
31,999,36749,9913,35141,71,58090,1633
31,1012,36468,10031,35145,72,58090,1667
32,1012,36468,10031,35146,72,58090,1667
32,1012,36468,10031,35148,72,58090,1667
33,1012,36468,10031,35157,72,58090,1667
33,1012,36468,10031,35157,72,58090,1667
34,1012,36468,10031,35165,72,58090,1667
34,1012,36468,10031,35160,72,58090,1667
35,986,34468,9937,35151,72,58106,1497
35,986,34468,9937,35148,72,58106,1497
36,986,34468,9937,35145,72,58106,1497
36,986,34468,9937,35143,72,58106,1497
37,986,34468,9937,35140,72,58106,1497
37,986,34468,9937,35133,72,58106,1497
38,986,34468,9937,35139,72,58106,1497
38,989,35561,9984,35138,73,58121,1558
39,989,35561,9984,35126,73,58121,1558
39,989,35561,9984,35133,73,58121,1558
40,989,35561,9984,35130,73,58121,1558
40,989,35561,9984,35132,73,58121,1558
41,989,35561,9984,35141,73,58121,1558
41,989,35561,9984,35132,73,58121,1558
42,994,35030,10031,35139,74,58121,1585
42,994,35030,10031,35148,74,58121,1585
43,994,35030,10031,35139,74,58121,1585
43,994,35030,10031,35133,74,58121,1585
