timestamp,pow,traw,tmu,cd,cv,ci
0,260,88,35462,9093,1001,5299
2,253,88,35460,9093,1001,5234
3,257,88,35458,9093,1001,5249
5,259,88,35455,9093,1002,5234
6,257,88,35455,9093,1002,5257
8,266,88,35455,9093,1001,5221
10,261,88,35454,9078,1000,5389
11,260,88,35452,9093,1001,5241
13,264,89,35451,9093,1002,5300
15,260,89,35450,9085,1002,5253
16,256,89,35450,9093,1002,5234
18,270,89,35448,9078,1001,5358
20,259,89,35447,516296,1001,5296
21,255,89,35446,9078,1001,5210
23,258,89,35445,9093,1001,5300
25,261,89,35445,9093,1001,5269
26,260,89,35444,9093,1001,5288
28,260,89,35443,9093,1002,5304
29,265,89,35443,9093,1002,5319
31,264,90,35444,9093,1002,5366
33,266,90,35441,9078,1002,5347
34,259,90,35440,9078,1001,5289
36,257,90,35441,9093,1002,5303
38,264,90,35443,9093,1001,5390
39,263,90,35444,9093,1001,5374
41,253,90,35445,9093,999,5229
43,263,90,35445,9093,1000,5421
44,263,90,35446,9093,1002,5374
46,267,90,35447,9093,1001,5374
48,269,90,35448,9093,1001,5323
49,260,91,35448,9093,1001,5304
51,262,91,35448,9093,1001,5382
52,259,91,35447,9093,1000,5316
54,267,91,35447,9093,1000,5436
56,265,91,35446,9093,1002,5359
57,258,91,35445,9093,1001,5280
59,259,91,35446,9093,1001,5245
61,266,91,35446,9093,1002,5413
62,258,91,35445,9093,1000,5367
64,268,91,35442,9093,1001,5355
66,265,91,35439,9093,1002,5367
67,265,92,35438,9093,1001,5374
69,259,92,35436,9093,1000,5327
70,254,92,35433,9093,1001,5284
72,270,92,35432,9093,1002,5398
74,270,92,35431,9093,1001,5358
75,260,92,35431,9093,1001,5347
77,261,92,35431,9093,1001,5269
79,265,92,35430,9093,1000,5343
80,266,92,35429,9093,1000,5335
82,262,92,35428,9093,1000,5417
84,261,92,35427,9093,1002,5354
85,260,93,35426,9093,1002,5253
87,263,93,35425,9093,1001,5354
89,220,93,35424,9093,1002,5257
90,265,93,35425,9093,1001,5460
92,269,93,35425,9093,1002,5366
93,267,93,35425,9093,1002,5468
95,264,93,35426,9101,1001,5363
97,265,93,35427,9093,1001,5425
98,267,93,35427,9093,1001,5405
100,260,93,35427,9093,1002,5265
102,260,93,35427,9093,1002,5312
103,265,93,35426,9093,1002,5503
105,261,94,35425,9093,1002,5242
107,263,94,35426,9093,1002,5393
108,266,94,35424,9093,1000,5370
110,264,94,35424,9093,1001,5370
112,265,94,35423,9093,1003,5374
113,265,94,35422,9093,1001,5468
115,266,94,35421,9093,1002,5324
116,256,94,35421,9093,1003,5374
118,266,94,35421,9093,1001,5288
120,258,94,35420,9093,1001,5366
121,266,94,35418,9093,1001,5359
123,268,94,35415,9093,1000,5331
125,265,95,35413,9093,1000,5410
126,261,95,35410,9093,1002,5370
128,265,95,35408,9093,1002,5339
130,261,95,35406,9093,1001,5323
131,262,95,35405,9093,1000,5358
133,265,95,35405,9093,1001,5362
135,273,95,35404,9109,1002,5437
136,258,95,35401,9093,1001,5402
138,275,95,35400,9093,1001,5471
139,264,95,35401,9109,1001,5440
141,270,95,35400,9093,1001,5484
143,269,95,35399,9093,1001,5448
144,268,95,35399,9093,1001,5428
146,266,96,35398,9109,1001,5394
148,273,96,35400,9093,1001,5448
149,267,96,35400,9093,1001,5456
151,270,96,35400,9109,1001,5476
153,265,96,35401,9093,1001,5468
154,268,96,35403,9101,1000,5511
156,267,96,35404,9093,1001,5452
157,274,96,35404,9109,1001,5605
159,269,96,35403,9093,1003,5363
161,273,96,35402,9093,1001,5499
162,270,96,35402,9109,1002,5515
164,275,96,35401,9109,1001,5468
166,264,97,35400,9093,1001,5386
167,271,97,35399,9101,1002,5421
169,264,97,35398,9109,1002,5413
171,261,97,35398,9093,1001,5464
172,276,97,35397,9109,1001,5570
174,271,97,35395,9109,1001,5476
176,276,97,35394,9093,1001,5538
177,228,97,35393,9093,1000,5433
179,278,97,35392,9093,1002,5624
180,231,97,35390,9093,1000,5444
182,274,97,35389,9109,1002,5472
184,275,97,35388,9093,1001,5511
185,275,97,35388,9101,1001,5522
187,282,98,35388,9093,1001,5503
189,229,98,35389,9101,1001,5495
190,268,98,35389,9093,1002,5530
192,226,98,35389,9109,1001,5440
194,266,98,35389,9109,1002,5464
195,266,98,35388,9093,999,5491
197,266,98,35388,9109,1001,5484
199,276,98,35387,9109,1002,5612
200,269,98,35387,9109,1001,5457
202,271,98,35387,9109,1000,5421
204,273,98,35387,9109,1002,5515
205,269,98,35388,9109,1001,5460
207,275,98,35388,9109,1001,5437
208,267,98,35389,9093,1001,5479
210,268,99,35387,9109,1000,5428
212,266,99,35389,9109,1003,5460
213,273,99,35389,9109,1000,5503
215,269,99,35389,9101,1002,5503
217,278,99,35388,9109,1002,5468
218,268,99,35386,9093,1000,5573
220,270,99,35383,9093,999,5596
222,272,99,35381,9109,1001,5542
223,274,99,35380,9093,1002,5601
225,276,99,35379,9109,1001,5593
226,269,99,35376,9093,1000,5534
228,270,99,35375,9109,1001,5522
230,277,99,35374,9093,1001,5636
231,283,100,35372,9093,1000,5628
233,272,100,35371,9109,1000,5554
235,272,100,35370,9109,1000,5585
236,280,100,35370,9109,1000,5585
238,274,100,35368,9109,1001,5569
240,273,100,35366,9109,1000,5480
241,273,100,35366,9109,1001,5527
243,276,100,35366,9109,1002,5651
245,269,100,35367,9109,1001,5605
246,279,100,35368,9093,1000,5617
248,279,100,35368,9109,1001,5643
249,270,100,35368,9109,1002,5671
251,278,100,35369,9109,1000,5682
253,276,100,35370,9109,1002,5616
254,274,101,35370,9109,1001,5546
256,270,101,35369,9109,1000,5538
258,276,101,35368,9109,1002,5480
259,276,101,35368,9109,1000,5554
261,280,101,35367,9109,1003,5624
263,279,101,35368,9109,1001,5631
264,273,101,35369,9109,1000,5612
266,277,101,35369,9109,1002,5628
267,273,101,35369,9109,1001,5620
269,276,101,35368,9109,1001,5581
271,275,101,35366,9109,1000,5726
272,276,101,35365,9109,999,5721
274,281,101,35363,9109,1002,5597
276,273,101,35361,9109,1000,5648
277,281,101,35358,9093,999,5628
279,272,101,35356,9109,1000,5593
281,273,102,35355,9109,1000,5675
282,277,102,35355,9101,1001,5562
284,276,102,35354,9109,1001,5667
286,275,102,35353,9109,1000,5632
287,276,102,35352,9109,1001,5585
289,277,102,35349,9109,1000,5714
290,276,102,35347,9109,1000,5734
292,283,102,35344,9109,1001,5702
294,270,102,35342,9109,1001,5554
295,281,102,35341,9109,1000,5659
297,284,102,35341,9109,1002,5714
299,283,102,35341,9109,1000,5694
300,273,102,35342,9109,1001,5667
302,280,102,35341,9109,1001,5761
304,279,102,35341,9109,1000,5667
305,284,103,35341,9109,1003,5777
307,282,103,35340,9109,1002,5691
309,271,103,35339,9109,1002,5597
310,268,103,35339,9109,1001,5604
312,283,103,35339,9109,1001,5772
313,273,103,35338,9109,1001,5667
315,270,103,35337,9109,1000,5562
317,274,103,35337,9109,1001,5698
318,280,103,35337,9109,1001,5725
320,278,103,35336,9093,1000,5639
322,270,103,35335,9093,1000,5593
323,277,103,35333,9109,1002,5757
325,273,103,35332,9109,1001,5737
327,279,103,35331,9109,1001,5683
