timestamp,pow,traw,tmu,cd,cv,ci
0,198,70,35515,9078,1001,3619
23,191,70,35500,9078,1001,3696
24,200,71,35486,9078,1000,3743
26,194,71,35474,9078,1002,3702
27,201,72,35463,9078,1002,3682
29,199,73,35454,9078,1001,3811
31,209,73,35446,9078,1003,3699
32,197,74,35438,9093,1002,3757
34,199,74,35430,9078,1001,3765
36,191,75,35423,9078,1002,3702
37,195,75,35416,9078,1002,3686
39,196,76,35411,9078,1003,3792
41,210,76,35407,9093,1003,3796
42,203,77,35404,9093,1003,3845
44,197,77,35401,9085,1002,3801
46,205,78,35397,9093,1003,3878
47,208,78,35393,9093,1001,3878
49,210,78,35390,9093,1003,3946
50,207,79,35388,9093,1002,3847
52,196,79,35385,9093,1003,3870
54,209,80,35382,9093,1001,3969
55,210,80,35379,9093,1002,4026
57,215,81,35376,9093,1002,4042
59,210,81,35373,9093,1002,4047
60,208,81,35370,9093,1001,4012
62,218,82,35364,9093,1003,4112
64,215,82,35359,9093,1002,4165
65,212,82,35356,9093,1003,4109
67,213,83,35353,9093,1003,4093
69,209,83,35348,9093,1002,4075
70,217,84,35343,9093,1001,4202
72,215,84,35339,9093,1001,4097
73,212,84,35334,9093,1002,4194
75,216,85,35329,9093,1001,4134
77,216,85,35324,9093,1001,4114
78,229,85,35319,9078,1001,4347
80,216,85,35314,9093,1002,4249
82,208,86,35310,9078,1003,4350
83,221,86,35306,9078,1002,4409
85,224,86,35301,9078,1001,4273
87,219,87,35296,9078,1002,4433
88,225,87,35293,9093,1003,4413
90,216,88,35290,9093,1001,4315
91,228,88,35286,9078,1001,4370
93,232,88,35281,9093,1002,4476
95,228,88,35277,9093,1002,4432
96,228,89,35274,9093,1001,4499
98,228,89,35270,9093,1001,4428
100,230,89,35267,9093,1001,4491
101,227,89,35265,9093,1001,4471
103,232,90,35264,9109,1002,4464
105,227,90,35263,9093,1003,4374
106,193,90,35262,9093,1003,4534
108,226,91,35259,9093,1002,4448
110,193,91,35255,9101,1003,4511
111,235,91,35252,9093,1003,4635
113,229,92,35250,9093,1002,4608
115,229,92,35248,9093,1003,4550
116,228,92,35245,9093,1001,4530
118,230,92,35243,9093,1001,4577
119,229,92,35242,9093,1001,4460
121,235,93,35239,9093,1003,4702
123,241,93,35237,9109,1003,4764
124,246,93,35234,9093,1001,4683
126,235,94,35232,9109,1003,4585
128,233,94,35230,9109,1003,4617
129,238,94,35228,9109,1002,4694
131,242,94,35225,9109,1002,4679
133,234,94,35224,9109,1002,4738
134,239,95,35223,9109,1003,4639
136,236,95,35223,9109,1003,4686
137,238,95,35223,9109,1003,4698
139,238,95,35223,9109,1003,4738
141,244,96,35223,9109,1003,4718
142,235,96,35223,9109,1001,4717
144,242,96,35221,9109,1002,4726
146,241,96,35220,9109,1003,4757
147,244,97,35219,9109,1001,4850
149,247,97,35218,9109,1003,4796
151,240,97,35219,9109,1003,4713
152,244,97,35218,9109,1002,4808
154,242,97,35215,9109,1000,4749
156,240,97,35212,9109,1001,4737
157,239,98,35211,9109,1002,4757
159,239,98,35209,9109,1002,4827
160,245,98,35206,9109,1002,4788
162,249,99,35205,9117,1003,4862
164,241,99,35204,9109,1002,4812
165,248,99,35202,9109,1002,4905
167,243,99,35200,9117,1003,4824
169,246,99,35198,9125,1003,4909
170,240,99,35197,9109,1003,4804
172,242,100,35196,9125,1003,4901
174,247,100,35194,9117,1003,4850
175,249,100,35192,9125,1002,4874
177,250,100,35189,9109,1002,4967
178,251,100,35189,9125,1003,4913
180,251,100,35190,9125,1003,4850
182,245,101,35191,9125,1002,4827
183,212,101,35190,9125,1003,4952
185,241,101,35190,9125,1001,4811
187,244,101,35189,9109,1002,4870
