timestamp,pow,traw,tmu,cd,cv,ci,cstatus,ctemp
0,147,67,33985,9093,1001,2527,0,61312
3,153,67,33984,9093,1001,2488,0,61812
5,152,67,33975,9093,1001,2570,0,60812
7,155,67,33984,9109,1004,2570,0,61812
9,154,67,33992,9093,1003,2480,0,61812
12,157,67,33980,9093,1003,2578,0,61812
14,158,67,33968,9093,1001,2574,0,60812
16,153,67,33981,9109,1003,2617,0,61312
19,156,67,33980,9093,1001,2570,0,61812
21,155,68,33986,9109,1003,2562,0,62312
23,151,68,33992,9093,1001,2585,0,61312
25,156,68,33975,9093,1003,2578,0,61812
28,159,68,33981,9093,1003,2582,0,60312
30,162,68,33977,9093,1001,2609,0,61812
32,153,68,33986,9093,1001,2605,0,61312
34,152,68,33998,9093,1003,2593,0,62312
37,147,68,33999,9109,1001,2496,0,61812
39,148,68,33974,9093,1003,2476,0,62312
41,156,69,33981,9093,1003,2605,0,62312
43,154,69,33995,9109,1003,2570,0,61812
46,159,69,33982,9093,1001,2597,0,62812
48,156,69,33985,9093,1001,2589,0,61812
50,149,69,33973,9093,1004,2554,0,62812
52,159,69,33974,9093,1003,2570,0,62312
55,162,69,33982,9093,1001,2621,0,63312
57,145,69,33987,9109,1001,2550,0,62812
59,148,69,33983,9093,1003,2550,0,62812
61,157,70,33988,9109,1003,2570,0,62812
64,157,70,33989,9109,1003,2578,0,63312
66,153,70,33964,9109,1004,2601,0,62312
68,166,70,33955,9109,1001,2574,0,63312
71,151,70,33957,9093,1001,2605,0,62812
73,153,70,33967,9109,1001,2566,0,63812
75,162,70,33968,9093,1001,2691,0,62812
77,153,70,33963,9093,1003,2585,0,63812
80,150,70,33958,9093,1003,2566,0,63312
82,157,70,33962,9093,1001,2632,0,62812
84,150,71,33973,9093,1004,2589,0,63812
86,154,71,33968,9093,1003,2585,0,63312
89,158,71,33995,9109,1003,2585,0,63312
91,151,71,33982,9109,1001,2570,0,63812
93,151,71,33978,9093,1001,2570,0,63812
95,147,71,33969,9109,1003,2566,0,64250
98,152,71,33981,9109,1001,2593,0,63812
100,155,71,33981,9093,1003,2601,0,64750
102,151,71,33966,9093,1003,2613,0,63812
104,150,72,33949,9109,1003,2566,0,64250
107,162,72,33962,9109,1003,2687,0,63312
109,169,72,33961,9093,1003,2582,0,64250
111,154,72,33951,9093,1003,2617,0,63812
113,156,72,33960,9109,1001,2546,0,64750
116,155,72,33955,9093,999,2605,0,64250
118,153,72,33950,9093,1003,2593,0,63812
120,157,72,33939,9093,1003,2578,0,65250
123,158,72,33939,9109,1003,2613,0,64750
125,150,72,33958,9109,1003,2628,0,64750
127,158,73,33968,9093,1003,2617,0,64750
129,150,73,33959,9109,1001,2546,0,64750
132,149,73,33966,9109,1003,2566,0,65250
134,153,73,33948,9093,1001,2574,0,64750
136,153,73,33961,9109,1001,2570,0,65750
138,151,73,33960,9109,1003,2636,0,63312
141,160,73,33944,9109,1003,2585,0,65250
143,154,73,33958,9109,1003,2589,0,64750
145,155,73,33941,9093,1003,2652,0,65250
152,152,74,33954,9109,1003,2492,0,66250
154,148,74,33955,9109,1003,2460,0,64250
156,149,74,33964,9109,1003,2578,0,65750
159,151,74,33949,9109,1001,2613,0,65250
161,156,74,33937,9093,1003,2582,0,65250
163,154,74,33922,9093,1001,2550,0,66750
165,151,74,33917,9109,1003,2562,0,65250
168,164,74,33924,9093,1001,2566,0,66250
170,151,74,33946,9109,1003,2597,0,65250
172,150,75,33951,9109,1003,2601,0,66250
175,147,75,33949,9109,1003,2578,0,65750
177,156,75,33955,9109,1003,2660,0,65750
179,150,75,33950,9109,1003,2660,0,66250
181,155,75,33961,9109,1004,2597,0,66750
184,156,75,33948,9109,1003,2691,0,65750
186,158,75,33945,9109,1003,2652,0,66250
188,154,75,33940,9109,1003,2574,0,65250
190,156,75,33934,9109,1003,2664,0,66750
193,147,75,33938,9109,1001,2593,0,66750
195,166,75,33942,9109,1003,2703,0,67250
197,153,76,33938,9109,1001,2617,0,66750
199,158,76,33939,9109,1003,2695,0,66750
202,160,76,33935,9109,1003,2691,0,66250
204,167,76,33931,9109,1003,2695,0,66750
206,155,76,33914,9109,1003,2589,0,67750
208,163,76,33915,9109,1003,2617,0,67750
211,155,76,33918,9109,1003,2585,0,66250
213,160,76,33924,9109,1001,2613,0,66750
215,152,76,33926,9109,1003,2554,0,67250
217,162,76,33920,9109,1001,2660,0,66250
220,156,76,33911,9109,1004,2625,0,67250
222,158,77,33919,9109,1001,2625,0,66750
224,160,77,33910,9109,1003,2660,0,68250
227,164,77,33910,9109,1001,2554,0,66750
229,159,77,33910,9109,1003,2632,0,66750
231,155,77,33911,9109,1003,2585,0,67750
233,163,77,33903,9109,1003,2582,0,66750
236,156,77,33922,9109,1003,2589,0,67250
238,156,77,33910,9109,1003,2613,0,67750
240,157,77,33904,9109,1003,2546,0,68250
242,150,77,33921,9109,1004,2566,0,67250
245,157,77,33919,9109,1001,2644,0,67250
247,148,78,33910,9109,1003,2527,0,68250
249,155,78,33915,9109,1003,2589,0,67250
251,163,78,33918,9109,1003,2644,0,67750
254,160,78,33921,9109,1003,2578,0,66750
256,155,78,33913,9109,1003,2593,0,68750
258,152,78,33919,9109,1003,2589,0,67750
260,156,78,33908,9109,1003,2585,0,67750
263,151,78,33902,9109,1003,2500,0,68750
265,153,78,33913,9109,1003,2480,0,68250
267,163,78,33910,9109,1003,2652,0,67750
269,155,78,33897,9109,1003,2617,0,69250
272,159,79,33902,9109,1001,2585,0,68250
274,157,79,33914,9109,1001,2589,0,68250
276,162,79,33913,9109,1003,2589,0,68250
279,162,79,33903,9109,1003,2582,0,67750
281,170,79,33898,9109,1003,2644,0,68250
283,167,79,33884,9109,999,2609,0,68750
285,152,79,33889,9109,1003,2570,0,68250
288,158,79,33889,9109,1004,2593,0,68750
290,159,79,33886,9109,1001,2589,0,68250
292,155,79,33887,9109,1003,2585,0,69750
294,145,79,33896,9109,1004,2527,0,69250
297,160,79,33894,9109,1004,2609,0,68250
303,156,80,33895,9109,1001,2570,0,69250
306,155,80,33899,9109,1001,2613,0,68750
308,155,80,33900,9109,1003,2554,0,68750
310,163,80,33892,9109,1003,2660,0,69250
312,160,80,33903,9109,1004,2617,0,69250
315,159,80,33906,9109,1003,2593,0,69250
317,162,80,33906,9109,1003,2589,0,69250
319,152,80,33912,9109,1003,2601,0,69250
321,154,80,33898,9125,1003,2562,0,68750
324,153,80,33914,9125,1003,2554,0,70750
326,163,81,33916,9125,1004,2570,0,69250
328,159,81,33919,9109,1001,2644,0,70250
331,159,81,33907,9109,1004,2683,0,68750
333,164,81,33901,9109,1003,2691,0,69750
335,161,81,33898,9109,1003,2710,0,69250
337,170,81,33905,9125,1003,2683,0,69750
340,157,81,33898,9109,1003,2687,0,69250
342,163,81,33908,9109,1003,2648,0,70250
344,167,81,33906,9109,1003,2679,0,69750
346,152,81,33913,9109,1003,2585,0,69250
349,163,81,33905,9109,1001,2582,0,69750
351,168,81,33899,9109,1003,2617,0,70250
353,153,82,33905,9109,1003,2574,0,69250
355,153,82,33907,9125,1001,2601,0,70250
358,164,82,33904,9109,1003,2632,0,69750
360,167,82,33897,9125,1003,2691,0,70250
362,155,82,33900,9109,1003,2617,0,70250
364,164,82,33909,9125,1003,2566,0,70750
367,165,82,33911,9125,1004,2625,0,70750
369,155,82,33906,9109,1003,2550,0,69250
371,160,82,33910,9109,1003,2660,0,69750
373,166,82,33916,9125,1003,2671,0,70250
376,169,82,33906,9109,1003,2687,0,70250
378,163,82,33901,9125,1004,2578,0,69750
380,160,82,33898,9125,1004,2613,0,70250
383,158,83,33908,9109,1004,2625,0,70750
385,161,83,33891,9109,1003,2699,0,70750
387,164,83,33899,9125,1001,2660,0,70250
389,160,83,33899,9109,1003,2585,0,70250
392,162,83,33900,9109,1003,2687,0,71250
394,162,83,33902,9109,1003,2667,0,70750
396,165,83,33895,9109,1003,2644,0,70750
398,160,83,33875,9125,1004,2679,0,70750
401,160,83,33881,9125,1003,2640,0,71750
407,158,83,33896,9109,1003,2617,0,71250
410,152,84,33884,9109,1003,2636,0,71750
412,161,84,33895,9125,1004,2656,0,70750
414,169,84,33893,9125,1003,2683,0,71250
416,165,84,33871,9109,1003,2730,0,70250
419,161,84,33872,9125,1003,2679,0,71250
421,162,84,33876,9109,1003,2585,0,71250
423,161,84,33870,9109,1004,2683,0,70750
425,158,84,33895,9125,1003,2625,0,71750
428,154,84,33877,9125,1003,2484,0,72750
430,154,84,33889,9109,1003,2632,0,71250
432,164,84,33878,9125,1004,2687,0,72250
435,155,84,33876,9109,1001,2699,0,71750
437,160,84,33866,9109,1004,2675,0,72250
439,161,84,33867,9125,1004,2566,0,71750
441,162,85,33865,9109,1003,2660,0,71750
444,168,85,33869,9125,1001,2714,0,71250
446,161,85,33884,9125,1003,2621,0,72750
448,163,85,33880,9125,1003,2601,0,72250
450,162,85,33886,9125,1003,2687,0,72250
453,162,85,33868,9109,1003,2613,0,71750
455,165,85,33882,9109,1001,2722,0,71250
457,158,85,33886,9125,1003,2628,0,71750
459,161,85,33887,9125,1003,2691,0,71750
462,166,85,33881,9125,1004,2660,0,72250
464,156,85,33882,9125,1003,2683,0,72750
466,153,85,33869,9109,1003,2667,0,72250
468,169,85,33871,9125,1003,2691,0,71750
471,162,85,33874,9125,1003,2699,0,72750
473,167,86,33884,9109,1001,2687,0,71750
475,158,86,33872,9109,1003,2687,0,71250
477,154,86,33868,9109,1003,2585,0,71750
480,155,86,33879,9125,1003,2585,0,72750
482,155,86,33892,9125,1001,2691,0,72250
484,160,86,33872,9125,1004,2718,0,73250
486,167,86,33862,9125,1004,2718,0,73250
493,163,86,33866,9109,1003,2675,0,72750
496,164,86,33865,9109,1003,2707,0,72250
498,163,86,33860,9109,1003,2636,0,72250
500,164,86,33860,9109,1003,2687,0,72250
502,158,86,33871,9125,1003,2640,0,73250
505,163,86,33863,9109,1003,2667,0,72750
507,159,87,33862,9125,1001,2609,0,73250
509,163,87,33873,9125,1004,2695,0,71750
511,167,87,33888,9125,1003,2593,0,73250
514,159,87,33866,9125,1004,2597,0,72750
516,156,87,33865,9125,1004,2625,0,72250
518,162,87,33866,9125,1003,2707,0,72750
520,160,87,33865,9125,1003,2667,0,72250
523,155,87,33863,9125,1003,2695,0,73750
525,159,87,33861,9125,1003,2609,0,72750
527,157,87,33862,9125,1004,2710,0,73750
529,158,87,33861,9125,1003,2613,0,73250
532,169,87,33860,9125,1004,2714,0,72750
534,158,87,33852,9125,1001,2679,0,73250
536,159,87,33858,9125,1003,2671,0,73250
538,164,87,33856,9109,1003,2742,0,73250
541,160,88,33841,9125,1001,2703,0,73250
543,165,88,33846,9109,1001,2691,0,73750
545,165,88,33850,9125,1001,2609,0,72750
548,163,88,33862,9125,1001,2605,0,73750
550,160,88,33862,9125,1003,2703,0,73750
552,160,88,33856,9125,1003,2683,0,73250
554,159,88,33843,9125,1004,2589,0,72750
557,161,88,33846,9125,1001,2632,0,73750
559,151,88,33852,9125,1003,2648,0,72750
561,161,88,33852,9125,1004,2703,0,73750
563,161,88,33850,9125,1003,2699,0,73750
566,163,88,33841,9125,1004,2574,0,73750
568,163,88,33840,9125,1003,2625,0,73750
570,161,88,33846,9125,1003,2625,0,74125
572,159,88,33844,9125,1003,2714,0,74625
575,152,88,33845,9125,1001,2667,0,73750
577,160,89,33847,9109,1004,2593,0,72750
579,162,89,33850,9125,1003,2687,0,74125
581,166,89,33853,9125,1001,2722,0,73250
584,165,89,33841,9109,1001,2710,0,74125
586,156,89,33845,9125,1001,2691,0,73250
588,166,89,33848,9125,1003,2644,0,73750
590,154,89,33837,9109,1003,2691,0,74125
593,160,89,33831,9125,1003,2687,0,74125
595,161,89,33838,9125,1003,2730,0,73250
597,158,89,33852,9125,1003,2710,0,74125
600,159,89,33858,9125,1003,2710,0,74125
602,159,89,33860,9125,1003,2640,0,74625
604,163,89,33853,9125,1004,2699,0,73750
606,154,89,33852,9125,1003,2660,0,74625
609,161,89,33848,9125,1003,2707,0,74625
611,161,89,33838,9109,1003,2609,0,74625
618,156,90,33843,9125,1003,2691,0,73750
620,161,90,33845,9125,1003,2671,0,74125
622,156,90,33849,9125,1001,2562,0,74625
624,153,90,33841,9125,1003,2539,0,74625
627,154,90,33839,9125,1003,2695,0,74625
629,160,90,33840,9125,1003,2691,0,74625
631,161,90,33851,9125,1004,2687,0,74625
633,164,90,33844,9125,1003,2664,0,74625
636,164,90,33853,9125,1004,2707,0,74125
638,163,90,33842,9125,1003,2652,0,73250
640,164,90,33835,9125,1003,2714,0,74125
642,159,90,33863,9125,1003,2687,0,74125
645,155,90,33853,9125,1003,2605,0,74625
652,158,91,33851,9125,1004,2613,0,74625
654,161,91,33849,9125,1004,2667,0,74625
656,156,91,33854,9125,1003,2609,0,74125
658,156,91,33854,9125,1003,2644,0,74625
661,160,91,33847,9125,1003,2722,0,74125
663,158,91,33862,9140,1003,2699,0,75125
665,163,91,33860,9125,1003,2660,0,74625
667,149,91,33847,9125,1003,2542,0,75125
670,149,91,33856,9125,1003,2664,0,74125
672,157,91,33846,9125,1003,2679,0,75125
674,157,91,33853,9125,1004,2699,0,73750
676,156,91,33854,9125,1003,2671,0,74625
679,165,91,33838,9125,1003,2664,0,74625
