elapsed sec.,core.v,core.i,core.duty,tmu.avg,tsens0,tsens1,power
0,998,5273,8921,33678,73,0,343
0,998,5273,8921,33671,73,0,343
1,1004,35968,9640,33665,73,0,1642
1,1004,35968,9640,33655,73,0,1642
2,1004,35968,9640,33645,73,0,1642
2,1004,35968,9640,33633,73,0,1642
3,1004,35030,9843,33623,74,0,1592
3,1004,35030,9843,33610,74,0,1592
4,1004,35030,9843,33598,74,0,1592
4,1007,35343,9827,33585,77,0,1591
13,1001,5225,8929,33497,84,0,349
13,1001,5225,8929,33493,84,0,349
14,1001,5225,8929,33490,84,0,349
14,1000,5257,8921,33487,84,0,346
15,1000,5257,8921,33484,84,0,346
15,1000,5257,8921,33481,84,0,346
16,1000,5257,8921,33479,84,0,346
16,1001,5218,8921,33476,84,0,348
17,1001,5218,8921,33473,84,0,348
17,1001,5218,8921,33471,84,0,348
18,1000,5140,8921,33468,83,0,340
18,1000,5140,8921,33465,83,0,340
19,1000,5140,8921,33462,83,0,340
19,1000,5175,8921,33460,83,0,342
20,1000,5175,8921,33458,83,0,342
20,1000,5175,8921,33455,83,0,342
21,1000,5175,8921,33453,83,0,342
21,1000,5097,8921,33451,82,0,345
22,1000,5097,8921,33448,82,0,345
22,1000,5097,8921,33446,82,0,345
23,1001,5128,8913,33443,82,0,337
23,1001,5128,8913,33441,82,0,337
24,1001,5128,8913,33440,82,0,337
24,999,5159,8906,33438,82,0,330
25,999,5159,8906,33436,82,0,330
25,999,5159,8906,33434,82,0,330
26,998,5156,8906,33432,81,0,341
26,998,5156,8906,33435,81,0,341
27,998,5156,8906,33439,81,0,341
27,998,5156,8906,33447,81,0,341
28,1000,5152,8906,33451,81,0,334
28,1000,5152,8906,33462,81,0,334
29,1000,5152,8906,33470,81,0,334
29,1000,5124,8921,33482,80,0,332
30,1000,5124,8921,33493,80,0,332
30,1000,5124,8921,33506,80,0,332
31,1000,5159,8921,33515,80,0,346
31,1000,5159,8921,33527,80,0,346
32,1000,5159,8921,33535,80,0,346
32,1000,5159,8921,33542,80,0,346
33,999,5124,8921,33549,80,0,342
33,999,5124,8921,33553,80,0,342
34,999,5124,8921,33558,80,0,342
34,999,5148,8906,33562,79,0,337
35,999,5148,8906,33566,79,0,337
35,999,5148,8906,33569,79,0,337
36,999,5105,8906,33572,79,0,340
36,999,5105,8906,33576,79,0,340
37,999,5105,8906,33578,79,0,340
37,1000,5066,8906,33581,79,0,341
38,1000,5066,8906,33583,79,0,341
38,1000,5066,8906,33585,79,0,341
39,1000,5066,8906,33588,79,0,341
39,1000,5148,8906,33589,78,0,342
40,1000,5148,8906,33590,78,0,342
40,1000,5148,8906,33592,78,0,342
41,999,5156,8906,33593,78,0,338
