elapsed sec.,power,temp. sensor,tmu avg
0,197,61,35180
2,197,62,35170
5,193,63,35163
7,193,63,35154
9,197,64,35148
12,197,65,35144
14,197,65,35136
16,197,66,35130
18,197,67,35127
21,197,67,35122
23,197,68,35117
25,197,68,35110
27,197,69,35100
30,197,69,35092
32,193,70,35092
34,197,70,35089
36,197,71,35084
39,193,71,35081
41,197,71,35077
43,197,72,35073
45,197,72,35070
48,197,72,35068
50,197,73,35065
52,197,73,35064
54,193,73,35061
57,197,74,35056
59,193,74,35052
61,197,74,35049
63,197,75,35048
66,197,75,35047
68,197,75,35046
70,197,75,35043
72,197,76,35033
75,197,76,35026
77,197,76,35025
79,201,76,35026
81,197,77,35027
84,201,77,35025
86,197,77,35024
88,201,77,35023
90,197,77,35022
93,197,78,35023
95,197,78,35023
97,197,78,35016
99,197,78,35012
102,197,78,35014
104,197,79,35013
106,201,79,35009
108,205,79,35011
111,201,79,35010
113,197,79,35008
115,201,79,35008
117,197,80,35008
120,201,80,35008
122,201,80,35007
124,201,80,35005
126,197,80,35002
129,197,81,35001
131,201,81,35000
133,197,81,35001
135,197,81,35000
138,201,81,35000
140,205,81,34999
142,201,81,34997
144,201,82,34997
147,201,82,34995
149,205,82,34994
151,201,82,34993
153,201,82,34991
156,197,82,34990
158,201,83,34989
160,201,83,34986
162,197,83,34982
165,201,83,34980
167,201,83,34979
169,197,83,34975
172,197,83,34974
174,197,83,34972
176,201,84,34968
178,197,84,34968
181,201,84,34969
183,197,84,34971
185,197,84,34973
187,197,84,34968
190,201,84,34965
192,201,85,34965
194,201,85,34963
196,205,85,34962
199,201,85,34960
201,201,85,34958
203,201,85,34957
205,205,85,34955
208,197,85,34956
210,201,85,34955
212,197,86,34955
214,201,86,34954
217,201,86,34954
219,201,86,34953
221,201,86,34953
223,201,86,34957
226,201,86,34957
228,201,86,34954
230,201,87,34951
232,201,87,34951
235,201,87,34953
237,205,87,34954
239,201,87,34952
241,201,87,34950
244,201,87,34950
246,201,87,34945
248,201,87,34942
250,201,88,34942
253,201,88,34939
255,201,88,34938
257,205,88,34938
259,201,88,34937
262,201,88,34938
264,201,88,34937
266,201,88,34936
268,205,88,34936
271,201,89,34937
273,205,89,34937
275,201,89,34936
277,201,89,34932
280,205,89,34930
282,205,89,34929
284,201,89,34928
286,205,89,34928
289,201,89,34925
291,201,89,34924
293,201,90,34923
295,201,90,34924
298,197,90,34926
300,205,90,34925
302,201,90,34921
304,201,90,34920
307,201,90,34920
309,201,90,34915
311,205,90,34912
314,205,90,34914
316,201,91,34914
318,201,91,34915
320,205,91,34914
323,201,91,34913
325,201,91,34916
327,205,91,34916
329,201,91,34918
332,205,91,34921
334,205,91,34919
336,201,91,34917
338,205,91,34911
341,205,91,34908
343,205,92,34908
345,205,92,34908
