elapsed sec.,power,temp. sensor,tmu avg
0,197,62,36593
2,197,63,36591
4,197,63,36589
7,197,63,36588
9,193,64,36587
11,193,64,36583
13,193,64,36578
16,197,64,36574
18,197,64,36573
20,197,65,36572
22,197,65,36573
25,197,65,36573
27,197,65,36571
29,197,66,36570
31,197,66,36569
34,197,66,36563
36,197,66,36558
38,197,66,36553
40,197,66,36552
43,197,67,36550
45,197,67,36548
47,197,67,36547
49,197,67,36545
52,201,67,36546
54,197,67,36547
56,197,68,36546
58,201,68,36543
61,197,68,36541
63,201,68,36538
65,197,68,36537
68,197,68,36537
70,197,69,36534
72,201,69,36534
74,197,69,36534
77,197,69,36533
79,201,69,36532
81,197,69,36529
83,201,69,36526
86,201,70,36528
88,201,70,36528
90,201,70,36525
92,201,70,36523
95,201,70,36522
97,197,70,36520
99,201,71,36521
101,201,71,36526
104,197,71,36528
106,197,71,36527
108,197,71,36524
110,201,71,36526
113,201,71,36526
115,197,71,36521
117,197,72,36516
119,201,72,36514
122,201,72,36514
124,201,72,36511
126,197,72,36510
128,201,72,36511
131,197,72,36509
133,201,73,36508
135,201,73,36505
137,201,73,36504
140,201,73,36505
142,201,73,36504
144,201,73,36504
146,201,73,36507
149,197,73,36502
151,197,74,36494
153,197,74,36490
155,201,74,36490
158,197,74,36490
160,197,74,36493
162,201,74,36493
164,201,74,36491
167,201,74,36490
169,201,75,36485
171,197,75,36484
173,201,75,36487
176,197,75,36485
178,197,75,36481
180,201,75,36479
182,201,75,36476
185,201,75,36476
187,201,76,36477
189,201,76,36478
191,201,76,36475
194,201,76,36469
196,201,76,36469
198,201,76,36470
200,201,76,36470
203,201,76,36468
205,197,76,36463
207,205,77,36461
210,201,77,36459
212,201,77,36459
214,201,77,36459
216,201,77,36457
219,201,77,36455
221,201,77,36454
223,201,77,36458
225,197,77,36461
228,201,78,36460
230,201,78,36457
232,205,78,36457
234,201,78,36457
237,201,78,36456
239,201,78,36456
241,201,78,36453
243,201,78,36450
246,201,78,36446
248,197,79,36447
250,201,79,36447
252,197,79,36446
255,201,79,36446
257,201,79,36446
259,201,79,36444
261,201,79,36444
264,201,79,36442
266,201,79,36441
268,201,80,36440
270,205,80,36438
273,201,80,36440
275,197,80,36439
277,201,80,36436
279,201,80,36435
282,201,80,36435
284,197,80,36431
286,201,80,36429
288,201,80,36432
291,201,81,36435
293,201,81,36432
295,197,81,36431
297,205,81,36431
300,197,81,36429
302,197,81,36431
304,201,81,36435
306,197,81,36435
309,197,81,36432
311,201,82,36430
313,201,82,36426
315,205,82,36422
318,201,82,36421
320,201,82,36422
322,197,82,36421
324,201,82,36418
327,197,82,36416
329,201,82,36414
331,197,82,36415
333,201,82,36414
336,201,83,36413
338,205,83,36414
340,197,83,36416
342,197,83,36414
345,197,83,36412
347,201,83,36411
349,205,83,36412
351,201,83,36412
354,197,83,36410
356,201,83,36412
358,205,83,36413
361,201,84,36409
363,201,84,36404
365,201,84,36399
367,201,84,36396
370,197,84,36396
372,201,84,36397
374,205,84,36395
376,197,84,36394
379,201,84,36393
381,201,84,36392
383,201,84,36392
385,201,85,36389
388,201,85,36387
390,201,85,36388
392,201,85,36386
394,201,85,36384
397,201,85,36384
399,197,85,36382
401,201,85,36381
403,201,85,36381
406,201,85,36380
408,201,85,36376
410,197,85,36374
412,201,85,36374
415,201,86,36373
417,205,86,36371
419,201,86,36372
421,205,86,36375
424,201,86,36375
426,205,86,36371
428,205,86,36370
430,201,86,36372
433,205,86,36372
435,201,86,36372
437,201,86,36373
439,205,86,36372
442,201,86,36370
444,201,87,36369
446,201,87,36368
448,201,87,36370
451,201,87,36369
453,205,87,36365
455,201,87,36364
457,201,87,36363
460,201,87,36361
462,201,87,36361
464,201,87,36358
466,201,87,36355
469,201,87,36356
471,201,88,36361
473,201,88,36359
475,205,88,36357
478,201,88,36359
480,201,88,36359
482,205,88,36356
484,201,88,36356
487,205,88,36356
489,205,88,36357
491,201,88,36358
493,201,88,36356
496,201,88,36355
498,201,88,36356
500,205,88,36353
502,205,89,36350
505,201,89,36349
507,205,89,36348
509,205,89,36350
512,201,89,36349
514,201,89,36347
516,205,89,36346
518,201,89,36344
521,201,89,36342
523,201,89,36341
525,205,89,36342
527,201,89,36341
530,205,89,36340
532,201,90,36341
534,201,90,36341
536,201,90,36341
539,205,90,36341
541,205,90,36343
543,201,90,36343
545,201,90,36341
548,205,90,36339
550,205,90,36340
552,201,90,36343
554,205,90,36344
557,201,90,36342
559,201,90,36342
561,205,90,36342
563,201,90,36342
566,201,90,36341
568,201,91,36338
570,205,91,36337
572,201,91,36338
575,201,91,36338
577,205,91,36337
579,205,91,36334
581,201,91,36332
584,201,91,36332
586,205,91,36330
588,205,91,36328
590,201,91,36328
593,201,91,36328
595,205,91,36327
597,201,91,36326
599,205,91,36326
602,205,91,36328
604,201,92,36330
606,197,92,36325
608,201,92,36320
611,201,92,36318
613,205,92,36318
615,205,92,36316
617,201,92,36313
620,205,92,36312
622,205,92,36310
624,205,92,36311
626,201,92,36315
629,201,92,36317
631,197,92,36314
633,201,92,36311
635,205,92,36309
638,205,92,36308
640,201,93,36310
642,201,93,36308
644,205,93,36308
647,205,93,36306
649,205,93,36304
651,205,93,36306
654,201,93,36308
656,201,93,36306
658,205,93,36303
660,201,93,36301
663,205,93,36301
665,205,93,36302
667,205,93,36304
669,201,93,36306
672,205,93,36305
674,201,93,36306
676,205,93,36305
678,201,93,36304
681,201,93,36306
683,205,94,36306
685,210,94,36305
687,201,94,36303
690,201,94,36302
692,205,94,36302
694,201,94,36300
696,205,94,36293
699,201,94,36287
701,205,94,36287
703,205,94,36286
705,205,94,36283
708,205,94,36282
710,205,94,36282
712,205,94,36282
714,205,94,36282
717,205,94,36282
719,210,94,36279
721,205,94,36278
723,205,95,36277
726,205,95,36278
728,205,95,36281
730,205,95,36280
732,205,95,36283
735,205,95,36286
737,201,95,36286
739,205,95,36282
741,205,95,36281
744,205,95,36282
746,205,95,36280
748,205,95,36278
750,201,95,36279
753,205,95,36277
755,205,95,36274
757,201,95,36272
759,210,95,36271
762,205,95,36271
764,205,95,36272
766,205,95,36270
768,205,95,36270
771,201,95,36269
773,201,95,36271
775,205,95,36273
777,205,96,36270
780,201,96,36270
782,205,96,36272
784,210,96,36274
786,205,96,36273
789,205,96,36270
791,205,96,36266
