elapsed sec.,core.v,core.i,core.duty,tmu.avg,tsens0,tsens1,power
0,1003,2578,8937,33974,62,0,239
0,1003,2578,8937,33923,62,0,239
1,1003,2578,8937,33878,62,0,239
1,1003,2578,8937,33827,62,0,239
2,1009,16906,9656,33780,62,0,893
2,1009,16906,9656,33730,62,0,893
3,1009,16906,9656,33693,62,0,893
3,1009,16906,9656,33659,62,0,893
4,1009,16906,9656,33663,62,0,893
4,1009,16906,9656,33663,62,0,893
5,1009,16906,9656,33652,62,0,893
5,1012,18437,9953,33645,64,0,925
6,1012,18437,9953,33640,64,0,925
6,1012,18437,9953,33619,64,0,925
7,1012,18437,9953,33631,64,0,925
7,1012,18437,9953,33632,64,0,925
8,1012,18437,9953,33615,64,0,925
8,1012,18437,9953,33625,64,0,925
9,1001,16906,9968,33609,66,0,848
9,1001,16906,9968,33617,66,0,848
10,1001,16906,9968,33619,66,0,848
10,1001,16906,9968,33614,66,0,848
11,1001,16906,9968,33613,66,0,848
11,1001,16906,9968,33614,66,0,848
12,1001,16906,9968,33605,66,0,848
12,999,18343,9718,33612,68,0,898
13,999,18343,9718,33580,68,0,898
13,999,18343,9718,33591,68,0,898
14,999,18343,9718,33584,68,0,898
14,999,18343,9718,33567,68,0,898
15,999,18343,9718,33568,68,0,898
15,1001,18281,9765,33569,68,0,898
16,1001,18281,9765,33581,69,0,935
16,1001,18281,9765,33586,69,0,935
17,1001,18281,9765,33570,69,0,935
17,1001,18281,9765,33580,69,0,935
18,1001,18281,9765,33592,69,0,935
18,1001,18281,9765,33591,69,0,935
19,998,16625,9875,33605,71,0,874
19,998,16625,9875,33586,71,0,874
20,998,16625,9875,33602,71,0,874
20,998,16625,9875,33615,71,0,874
21,998,16625,9875,33594,71,0,874
21,998,16625,9875,33586,71,0,874
22,998,16625,9875,33597,71,0,874
22,974,18375,9843,33590,72,0,901
23,974,18375,9843,33595,72,0,901
23,974,18375,9843,33592,72,0,901
24,974,18375,9843,33579,72,0,901
24,974,18375,9843,33582,72,0,901
25,974,18375,9843,33595,72,0,901
25,974,18375,9843,33572,72,0,901
26,1022,17468,9796,33578,73,0,883
26,1022,17468,9796,33569,73,0,883
27,1022,17468,9796,33559,73,0,883
27,1022,17468,9796,33578,73,0,883
28,1022,17468,9796,33582,73,0,883
28,1022,17468,9796,33558,73,0,883
29,1022,17468,9796,33579,73,0,883
29,973,18125,9875,33569,74,0,870
30,973,18125,9875,33589,74,0,870
30,973,18125,9875,33598,74,0,870
31,973,18125,9875,33579,74,0,870
31,973,18125,9875,33595,74,0,870
32,973,18125,9875,33598,74,0,870
32,973,18125,9875,33592,74,0,870
33,993,18187,9906,33592,75,0,900
33,993,18187,9906,33590,75,0,900
34,993,18187,9906,33594,75,0,900
34,993,18187,9906,33598,75,0,900
35,993,18187,9906,33583,75,0,900
35,993,18187,9906,33599,75,0,900
36,1001,17906,9890,33597,76,0,913
36,1001,17906,9890,33602,76,0,913
37,1001,17906,9890,33605,76,0,913
37,1001,17906,9890,33597,76,0,913
38,1001,17906,9890,33592,76,0,913
38,1001,17906,9890,33605,76,0,913
39,1001,17906,9890,33590,76,0,913
39,998,18468,9906,33579,76,0,940
40,998,18468,9906,33565,76,0,940
40,998,18468,9906,33556,76,0,940
41,998,18468,9906,33569,76,0,940
41,998,18468,9906,33571,76,0,940
42,998,18468,9906,33544,76,0,940
42,998,18468,9906,33555,76,0,940
43,999,17500,9906,33558,77,0,911
43,999,17500,9906,33565,77,0,911
44,999,17500,9906,33569,77,0,911
44,999,17500,9906,33553,77,0,911
45,999,17500,9906,33572,77,0,911
45,999,17500,9906,33582,77,0,911
46,999,17500,9906,33573,77,0,911
46,999,17625,9921,33586,78,0,862
47,999,17625,9921,33587,78,0,862
47,999,17625,9921,33567,78,0,862
48,999,17625,9921,33581,78,0,862
48,999,17625,9921,33559,78,0,862
49,999,17625,9921,33565,78,0,862
49,999,17625,9921,33586,78,0,862
