,freq,tmu error (MAE),tmu_err_mean
3,599,53745,55333.53846153846
10,599,54105,55333.53846153846
17,599,54408,55333.53846153846
24,599,53451,55333.53846153846
31,599,53711,55333.53846153846
38,599,55646,55333.53846153846
45,599,55688,55333.53846153846
52,599,56217,55333.53846153846
59,599,52582,55333.53846153846
66,599,57179,55333.53846153846
73,599,53734,55333.53846153846
80,599,56420,55333.53846153846
87,599,55627,55333.53846153846
94,599,55583,55333.53846153846
101,599,55178,55333.53846153846
108,599,54600,55333.53846153846
115,599,56206,55333.53846153846
122,599,54783,55333.53846153846
129,599,57075,55333.53846153846
136,599,55632,55333.53846153846
143,599,56157,55333.53846153846
150,599,55165,55333.53846153846
157,599,55812,55333.53846153846
164,599,56911,55333.53846153846
171,599,57173,55333.53846153846
178,599,54895,55333.53846153846
185,599,56332,55333.53846153846
192,599,56643,55333.53846153846
199,599,55848,55333.53846153846
206,599,56130,55333.53846153846
213,599,55437,55333.53846153846
220,599,54199,55333.53846153846
227,599,55285,55333.53846153846
234,599,57970,55333.53846153846
241,599,55129,55333.53846153846
248,599,54831,55333.53846153846
255,599,54617,55333.53846153846
262,599,51435,55333.53846153846
269,599,56469,55333.53846153846
2,523,55319,55255.64102564102
9,523,52869,55255.64102564102
16,523,53672,55255.64102564102
23,523,53627,55255.64102564102
30,523,55178,55255.64102564102
37,523,54311,55255.64102564102
44,523,56666,55255.64102564102
51,523,54819,55255.64102564102
58,523,55186,55255.64102564102
65,523,54929,55255.64102564102
72,523,55861,55255.64102564102
79,523,53307,55255.64102564102
86,523,55096,55255.64102564102
93,523,55773,55255.64102564102
100,523,57196,55255.64102564102
107,523,56157,55255.64102564102
114,523,54555,55255.64102564102
121,523,56331,55255.64102564102
128,523,56357,55255.64102564102
135,523,55182,55255.64102564102
142,523,56787,55255.64102564102
149,523,56833,55255.64102564102
156,523,57158,55255.64102564102
163,523,55536,55255.64102564102
170,523,56139,55255.64102564102
177,523,56006,55255.64102564102
184,523,58060,55255.64102564102
191,523,55097,55255.64102564102
198,523,55806,55255.64102564102
205,523,53917,55255.64102564102
212,523,56003,55255.64102564102
219,523,54714,55255.64102564102
226,523,55040,55255.64102564102
233,523,56242,55255.64102564102
240,523,53250,55255.64102564102
247,523,53262,55255.64102564102
254,523,54136,55255.64102564102
261,523,53910,55255.64102564102
268,523,54683,55255.64102564102
4,653,53321,54961.07692307692
11,653,53004,54961.07692307692
18,653,52512,54961.07692307692
25,653,53898,54961.07692307692
32,653,53355,54961.07692307692
39,653,53887,54961.07692307692
46,653,53328,54961.07692307692
53,653,53402,54961.07692307692
60,653,53615,54961.07692307692
67,653,54825,54961.07692307692
74,653,54767,54961.07692307692
81,653,56651,54961.07692307692
88,653,54042,54961.07692307692
95,653,55981,54961.07692307692
102,653,54888,54961.07692307692
109,653,56808,54961.07692307692
116,653,54708,54961.07692307692
123,653,56112,54961.07692307692
130,653,58211,54961.07692307692
137,653,55029,54961.07692307692
144,653,57088,54961.07692307692
151,653,56164,54961.07692307692
158,653,54890,54961.07692307692
165,653,55590,54961.07692307692
172,653,54763,54961.07692307692
179,653,54346,54961.07692307692
186,653,55659,54961.07692307692
193,653,55275,54961.07692307692
200,653,54509,54961.07692307692
207,653,57527,54961.07692307692
214,653,55518,54961.07692307692
221,653,56253,54961.07692307692
228,653,54470,54961.07692307692
235,653,55612,54961.07692307692
242,653,54805,54961.07692307692
249,653,54958,54961.07692307692
256,653,54964,54961.07692307692
263,653,54738,54961.07692307692
270,653,54009,54961.07692307692
1,461,53038,55156.769230769234
8,461,52828,55156.769230769234
15,461,53135,55156.769230769234
22,461,54564,55156.769230769234
