elapsed sec.,power,temp. sensor,tmu avg
0,197,76,35035
2,193,76,35036
4,193,76,35036
6,193,76,35032
9,193,76,35027
11,193,76,35027
13,193,76,35028
15,193,77,35027
18,193,77,35025
20,193,77,35023
22,193,77,35024
24,193,77,35024
27,197,77,35023
29,197,78,35023
31,197,78,35021
33,193,78,35021
36,193,78,35023
38,193,78,35022
40,193,78,35020
42,197,79,35018
45,193,79,35016
47,197,79,35016
49,193,79,35016
51,197,79,35016
54,193,79,35016
56,197,79,35017
58,197,79,35013
60,193,80,35014
63,197,80,35014
65,197,80,35012
67,193,80,35010
69,197,80,35008
72,193,80,35007
74,197,80,35005
76,197,81,35003
78,197,81,35002
81,197,81,34999
83,193,81,34997
85,197,81,34995
87,197,81,34998
90,193,81,34999
92,197,81,34996
94,193,81,34993
96,197,82,34990
99,193,82,34990
101,193,82,34991
103,193,82,34988
105,193,82,34984
108,197,82,34981
110,197,82,34983
112,193,82,34985
114,193,83,34980
117,197,83,34975
119,193,83,34974
121,197,83,34974
123,193,83,34972
126,193,83,34970
128,201,83,34968
130,197,83,34965
132,197,84,34962
135,193,84,34962
137,197,84,34963
139,193,84,34962
142,197,84,34961
144,197,84,34962
146,197,84,34961
148,197,85,34961
151,201,85,34961
153,197,85,34958
155,197,85,34958
157,197,85,34960
160,197,85,34959
162,197,85,34955
164,193,85,34953
166,201,85,34954
169,197,86,34956
171,197,86,34954
173,197,86,34950
175,197,86,34949
178,201,86,34949
180,197,86,34949
182,201,86,34950
184,197,86,34946
187,197,86,34943
189,197,86,34942
191,197,87,34942
193,197,87,34942
196,201,87,34942
198,197,87,34942
200,197,87,34940
202,197,87,34940
205,197,87,34940
207,197,87,34941
209,197,87,34941
211,197,88,34935
214,197,88,34933
216,197,88,34935
218,197,88,34935
220,197,88,34936
223,197,88,34934
225,193,88,34929
227,197,88,34925
229,197,88,34926
232,197,89,34926
234,197,89,34928
236,201,89,34929
238,197,89,34928
241,197,89,34927
243,201,89,34927
245,201,89,34926
247,197,89,34926
250,197,89,34926
252,201,89,34927
254,201,89,34926
256,197,89,34924
259,197,89,34921
261,201,90,34919
263,201,90,34920
265,201,90,34920
268,201,90,34919
270,197,90,34919
272,197,90,34917
274,201,90,34917
277,197,90,34918
279,197,90,34917
281,197,90,34917
283,201,90,34914
286,201,91,34912
288,197,91,34912
290,201,91,34912
292,197,91,34908
295,201,91,34907
297,201,91,34910
299,197,91,34910
302,201,91,34905
304,197,91,34898
306,201,91,34895
308,201,91,34896
311,197,91,34896
313,197,92,34895
315,201,92,34895
317,201,92,34894
320,197,92,34891
322,197,92,34891
324,197,92,34892
326,197,92,34891
329,197,92,34893
331,201,92,34892
333,201,92,34890
335,201,93,34889
338,201,93,34889
340,201,93,34890
342,201,93,34888
344,197,93,34888
347,201,93,34886
349,197,93,34885
351,197,93,34886
353,197,93,34888
356,201,93,34887
358,201,93,34882
360,201,93,34881
362,201,94,34882
365,201,94,34883
367,201,94,34883
369,201,94,34883
371,201,94,34883
374,201,94,34881
376,201,94,34881
378,201,94,34882
380,197,94,34881
383,201,94,34882
385,201,94,34883
387,201,94,34878
389,205,95,34879
392,201,95,34877
394,205,95,34875
396,201,95,34875
398,197,95,34875
401,197,95,34872
403,201,95,34868
405,201,95,34867
407,201,95,34866
410,201,95,34867
412,201,95,34868
414,201,95,34868
416,201,96,34865
419,201,96,34863
421,197,96,34863
423,201,96,34863
425,201,96,34863
428,201,96,34860
430,201,96,34859
432,201,96,34859
434,201,96,34858
437,197,96,34860
439,201,96,34857
441,201,96,34857
443,201,96,34858
446,201,96,34856
448,205,97,34855
450,201,97,34853
453,201,97,34854
455,201,97,34853
457,197,97,34853
459,201,97,34852
462,201,97,34850
464,205,97,34849
466,201,97,34846
468,201,97,34844
471,201,97,34842
473,205,97,34842
475,201,97,34844
477,201,97,34844
480,201,97,34844
482,201,98,34844
484,201,98,34843
486,201,98,34842
489,201,98,34841
