elapsed sec.,power,temp. sensor,tmu avg
0,205,83,34863
3,205,83,34858
5,205,84,34855
7,205,84,34852
9,205,85,34845
12,205,85,34839
14,210,85,34832
16,205,86,34824
18,210,86,34818
21,210,87,34813
23,210,87,34809
25,210,88,34805
27,210,88,34801
29,210,88,34798
32,210,89,34796
34,210,89,34792
36,210,90,34787
38,210,90,34779
41,210,91,34773
43,210,91,34769
45,214,91,34766
47,210,92,34766
50,210,92,34764
52,214,92,34762
54,210,93,34759
56,214,93,34755
59,214,94,34751
61,210,94,34746
63,210,94,34740
65,210,95,34734
68,214,95,34729
70,214,96,34726
72,214,96,34722
74,210,96,34719
76,214,97,34716
79,210,97,34710
81,210,97,34708
83,214,98,34705
85,214,98,34701
88,218,98,34699
90,214,99,34695
92,214,99,34691
94,214,99,34687
97,214,100,34684
99,218,100,34682
101,214,100,34680
103,214,100,34678
106,214,101,34676
108,218,101,34672
110,218,101,34670
112,218,101,34668
115,214,102,34666
117,214,102,34665
119,218,102,34663
121,214,103,34661
123,214,103,34658
126,218,103,34656
128,218,103,34655
130,222,103,34655
132,218,104,34653
135,218,104,34650
137,222,104,34647
139,218,105,34643
141,218,105,34641
144,218,105,34638
146,218,105,34636
148,222,105,34635
150,222,105,34632
153,218,106,34632
155,218,106,34630
157,218,106,34627
159,218,106,34624
162,222,107,34619
164,218,107,34613
166,218,107,34607
168,218,107,34602
170,222,108,34600
173,218,108,34599
175,218,108,34598
177,218,108,34595
179,218,108,34591
182,222,108,34590
184,222,109,34587
186,222,109,34585
188,222,109,34584
191,222,109,34581
193,222,109,34579
195,218,109,34578
197,218,109,34577
200,222,109,34576
202,222,109,34576
204,218,109,34575
206,222,109,34573
209,218,110,34570
211,218,110,34568
213,222,111,34565
215,222,111,34563
218,222,111,34563
220,218,111,34561
222,222,111,34560
224,222,111,34558
226,222,112,34555
229,222,112,34553
231,218,112,34552
233,222,112,34550
235,222,112,34548
238,222,113,34546
240,226,113,34544
242,222,113,34543
244,222,113,34543
247,222,113,34543
249,222,113,34542
251,222,113,34541
253,226,114,34539
256,222,114,34537
258,222,114,34536
260,222,113,34533
262,226,114,34531
265,222,114,34528
267,226,114,34526
269,222,114,34525
271,222,115,34524
273,226,115,34523
276,222,115,34522
278,222,115,34519
280,226,115,34517
282,226,116,34513
285,226,116,34510
287,226,116,34510
289,222,116,34508
291,226,116,34509
294,226,116,34508
296,226,117,34507
298,226,117,34507
300,222,117,34507
303,222,117,34506
305,226,117,34506
307,226,117,34508
309,222,117,34507
312,226,118,34507
314,226,118,34504
316,226,118,34501
318,222,118,34500
320,226,118,34496
323,226,118,34494
325,231,118,34492
327,226,118,34489
329,226,118,34487
332,226,119,34485
334,226,119,34484
336,222,119,34484
338,226,118,34484
341,226,118,34484
343,231,118,34484
345,226,118,34481
347,226,118,34478
350,226,119,34475
352,226,119,34471
354,226,119,34468
356,226,119,34466
359,226,120,34464
361,222,120,34463
363,226,120,34462
365,226,120,34463
367,226,120,34464
370,231,120,34464
372,226,120,34463
374,226,120,34461
376,231,121,34458
379,231,120,34458
381,226,121,34456
383,231,121,34458
385,231,121,34459
388,226,121,34458
390,226,121,34459
392,231,121,34455
394,226,121,34451
397,231,121,34449
399,226,121,34446
401,231,120,34447
403,231,120,34446
406,226,120,34446
408,231,121,34445
410,231,121,34445
412,226,121,34445
414,231,122,34444
417,226,121,34443
419,231,122,34442
421,231,122,34441
423,231,122,34440
426,231,122,34439
428,231,122,34438
430,231,122,34438
432,231,122,34436
435,226,123,34437
437,231,123,34437
439,231,123,34437
441,231,123,34437
444,231,123,34434
446,231,123,34434
448,226,123,34433
450,235,123,34432
453,231,123,34431
455,231,124,34431
457,226,124,34431
459,231,124,34431
461,231,124,34430
464,231,123,34430
466,231,123,34428
468,235,123,34427
470,231,123,34426
473,231,124,34424
475,231,124,34424
477,231,124,34423
479,231,124,34424
482,231,124,34424
484,231,124,34424
486,231,124,34425
488,231,124,34425
491,231,124,34424
493,226,125,34423
495,231,125,34423
497,231,125,34421
500,231,125,34420
502,231,124,34419
